Category,keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Times,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/anne_sknk/status/1506630393772056578,anne_sknk,https://twitter.com/anne_sknk,1648043652,2022-03-23 13:54:12,"Well ruSSians, thats a start. Way too late and way too little. But we wouldn‘t mind if you burn it all to the ground. #russia #moscow #russianwar #StandWithUkraine️",,,4,2,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/JonStroulger/status/1504190140612239367,JonStroulger,https://twitter.com/JonStroulger,1647461850,2022-03-16 20:17:30,Putin …. Midlife crisis? Probably. #putin #RussiaUkraineWar #russianwar #Ukraine https://t.co/zo6c0B8AXF,https://pbs.twimg.com/media/FN_09eIXIAQik1Q.jpg,,5,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504537142067974144,raging545,https://twitter.com/raging545,1647544582,2022-03-17 19:16:22,VIDEO from Mariupol showing the devastation caused by Russia`s continued shelling destroying utility and maintenance vehicles. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/f6KQ9J5CDz,,https://video.twimg.com/ext_tw_video/1504536589044752389/pu/vid/1280x704/zMcHgMIxMHIIk1Pc.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504536589044752389/pu/vid/654x360/znmOzqFx5xjxL7Ew.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504536589044752389/pu/vid/490x270/DKyjt9aYnVvnD6g5.mp4?tag=12;,81,42,6
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/vijaykumar1305/status/1506608085032640517,vijaykumar1305,https://twitter.com/vijaykumar1305,1648038333,2022-03-23 12:25:33,"The Old Lady Tell About #RussianWarCrimes , ""I Survived the 1933 Man Made Feminine. The War in 1941 But I've Never Experienced Like this.""  

#Ukraine #Russia #USA #RussianWar #RussianUkrainianWar #UkraineUnderAttaсk https://t.co/JyaHUY4Ste",,https://video.twimg.com/ext_tw_video/1506608043743911944/pu/vid/320x320/TXYODdwPUIKslwuE.mp4?tag=12;,9,0,1
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504555469934845957,raging545,https://twitter.com/raging545,1647548951,2022-03-17 20:29:11,VIDEO of a captured Russian soldier in S. Ukraine with the interrogator displaying the soldiers`s service contract with Russia`s military. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin #Russia https://t.co/IXbEYrR1xH,,https://video.twimg.com/ext_tw_video/1504555416004567044/pu/vid/320x568/jsjmu0WioUpCGmgZ.mp4?tag=12;,57,21,6
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/TexasChica2021/status/1506653447248125955,TexasChica2021,https://twitter.com/TexasChica2021,1648049148,2022-03-23 15:25:48,Ukraine is faced with an existential threat... do you approve of them using nukes? #RussianWar #Putin https://t.co/UByqyBVnHS,https://pbs.twimg.com/media/FOi1UvyXIAsjtun.jpg,,1,1,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504583001010839552,raging545,https://twitter.com/raging545,1647555515,2022-03-17 22:18:35,VIDEO of destroyed Russian vehicles in Posad-Pokrovske in Kherson E. Ukraine #Ukraineunderattack #PutinIsaWarCriminal  #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #Russianlosses #Putin https://t.co/NqfxztNNJB,,https://video.twimg.com/ext_tw_video/1504582662295535619/pu/vid/1280x720/xmFpA2H9iHmOysz5.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504582662295535619/pu/vid/480x270/3DzkwqTCFfdElbIo.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504582662295535619/pu/vid/640x360/gog-KYww1BESghmm.mp4?tag=12;,29,14,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/WinBlueIn22/status/1504666180442677248,WinBlueIn22,https://twitter.com/WinBlueIn22,1647575347,2022-03-18 3:49:7,"""They Tried to Bury Us, They Didn't Know We Were Seeds"" #Ukraine version

#StandWithUkraine #CloseTheSkies #RussianWar https://t.co/KuWeTniFnz",https://pbs.twimg.com/media/FOGjUBHVQAE38aL.jpg,,4,2,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/timbucks2/status/1505078416655077384,timbucks2,https://twitter.com/timbucks2,1647673632,2022-03-19 7:7:12,"Hey The Whole ""Systems"" Fucked ...

#RussianWar

He he he he he he !!! 🤣🤣🤣

#SystemXTheSystem

@Madonna @cher 

❤️ 666 https://t.co/bJewEozRLL",https://pbs.twimg.com/media/FOMc19zVcAInPRK.jpg,,1,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504865801823785002,raging545,https://twitter.com/raging545,1647622940,2022-03-18 17:2:20,GRAPHIC VIDEO of a knocked out Russian T-72 with a crewman trying to escape getting blown up as well.The location is not given but it is suggested that it may be from Mariupol #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar https://t.co/Gjvgmrwiva,,https://video.twimg.com/ext_tw_video/1504865773717700608/pu/vid/320x400/N3o2L1oegvsYd-UZ.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504865773717700608/pu/vid/480x600/QQvZ_gIum0cQVjw8.mp4?tag=12;,45,11,3
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504580849173471234,raging545,https://twitter.com/raging545,1647555002,2022-03-17 22:10:2,VIDEO from app 4.30PM S. Ukraine time showing a  Russian convoy of app 30+ Kamaz trucks entering Berdyansk. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin https://t.co/gTI2Im0GLT,,https://video.twimg.com/ext_tw_video/1504580789232705539/pu/vid/320x406/ncbQclCaSwOkMDS4.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504580789232705539/pu/vid/352x448/dO_7mKZzNAivo9yC.mp4?tag=12;,18,13,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504953204181712905,raging545,https://twitter.com/raging545,1647643779,2022-03-18 22:49:39,VIDEO from Odessa showing Russian warships offshore on the horizon. Russia has a Guided Missile cruiser as well as landing ships waiting offshore to possibly make an amphibious landing. #Ukraine #UkraineUnderAttack #Putin #SanctionsRussia  #PutinIsaWarCriminal #Russia #RussianWar https://t.co/xWqXMes9Tg,,https://video.twimg.com/ext_tw_video/1504953178017652736/pu/vid/542x360/_VcFdZ1FTmI5NQEp.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504953178017652736/pu/vid/406x270/dfYgS9RJIzVo0BHu.mp4?tag=12;https://video.twimg.com/ext_tw_video/1504953178017652736/pu/vid/848x562/s9Cx0DoSMaW_2grt.mp4?tag=12;,25,21,5
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504535567996010502,raging545,https://twitter.com/raging545,1647544206,2022-03-17 19:10:6,VERY GRAPHIC 18+ WARCRIME VIDEO from Mariupol showing bodies of civilians including a baby killed in Russia`s continued attacks on the city. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/ZSV2AwnTD3,,https://video.twimg.com/ext_tw_video/1504535524014444549/pu/vid/480x256/bNR0qoWp-U106CJH.mp4?tag=12;,14,7,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/trump_stakes/status/1504602241390596097,trump_stakes,https://twitter.com/trump_stakes,1647560103,2022-03-17 23:35:3,"@zlj517 With respect, it seems like a weird time to try to drive a wedge. There are life and death matters taking place right now. Pro-genocide or anti-genocide seems like the decision at the moment. Here’s how the world voted on whether or not to condemn the #RussianWar on Ukraine. https://t.co/3zHvEQOPXK",https://pbs.twimg.com/media/FOFrw9VXMAQ8iGs.jpg,,180,11,136
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504566629736275985,raging545,https://twitter.com/raging545,1647551612,2022-03-17 21:13:32,"IMAGES of Ukraine troops attack on Russian forces in Pryluky in Chernihiv pushing them back almost 50km from Kyiv destroying BM-30 Smerch rocket launchers,T-72 tanks &amp; Tigr amoured vehicles #Ukraineunderattack #Ukrainian #Ukraine #RussianArmedForces #Russianwar #Putin #Russia https://t.co/9sY8Kl1Ru4",https://pbs.twimg.com/media/FOFKskhXMAUJxa1.jpg,,33,11,3
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504571289914204163,raging545,https://twitter.com/raging545,1647552723,2022-03-17 21:32:3,VIDEO of Ukraine Foreign Legion volunteers from Belarus who say they want to help break the blockade of Mariupol. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/TZqPKWiJAm,,https://video.twimg.com/ext_tw_video/1504571254333919235/pu/vid/432x216/lXXQKroYNmsseohj.mp4?tag=12;,16,6,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/RussiaVsWorld_/status/1506093160828706818,RussiaVsWorld_,https://twitter.com/RussiaVsWorld_,1647915566,2022-03-22 2:19:26,"The Pentagon on Monday accused Russian forces of committing war crimes in Ukraine and said it would help gather evidence of them, as it accused the Kremlin of carrying out indiscriminate attacks as part of an intentional strategy in the conflict.
#RussianUkrainianWar #RussianWar https://t.co/u8oyiG4PS6",https://pbs.twimg.com/media/FOa3mkeXwAMrwHk.jpg,,4,1,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/CNBC_Awaaz/status/1506898887029637128,CNBC_Awaaz,https://twitter.com/CNBC_Awaaz,1648107666,2022-03-24 7:41:6,"#AwaazMarkets | One Month Of #RussianWar - Indian Market V/s Rest of the world - #Market

#MunafeKiBaat https://t.co/SsVbAi6FV9",https://pbs.twimg.com/media/FOmUMhSVkAEBU7W.jpg,,29,6,3
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/RebHarms/status/1505429826941091841,RebHarms,https://twitter.com/RebHarms,1647757414,2022-03-20 6:23:34,Our last meeting in #Mariupol was with a great paramedic who worked at the frontline of the #RussianWar since years and helped many people in the grey zone. Her skills and her equipment she got by @malteserDE after she had quit her management post to serve her country in need. https://t.co/2pLlZ6Ws1c,https://pbs.twimg.com/media/FORccitXMAEwxFI.jpg,,30,9,1
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/sirajnoorani/status/1505136221420343296,sirajnoorani,https://twitter.com/sirajnoorani,1647687413,2022-03-19 10:56:53,"VIDEO of Ukrainian Air Defences over Kyiv firing at incoming Russian either missiles or aircraft, this morning. #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar #PutinWarCriminal https://t.co/6xcjYMlyrI",,https://video.twimg.com/ext_tw_video/1505136059591524352/pu/vid/640x360/9Hm9j34NABgx0ku0.mp4?tag=12;https://video.twimg.com/ext_tw_video/1505136059591524352/pu/vid/1280x720/dpEb5lgN1jiqKgu5.mp4?tag=12;https://video.twimg.com/ext_tw_video/1505136059591524352/pu/vid/480x270/uDdioU3Mvx-LZwnT.mp4?tag=12;,2,1,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/PutinsWar/status/1507096688606920712,PutinsWar,https://twitter.com/PutinsWar,1648154825,2022-03-24 20:47:5,We’ve been told by our sources that President Biden will meet the president of Ukraine within 48 hours. #UkraineBiden #Putinswar #bidenmeets #SecretJOE #themeeting #warzone  #Russianwar #war https://t.co/Jnv8guGJA1,https://pbs.twimg.com/media/FOpIcxYVQAMpLXS.jpg,,1,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504573126553870339,raging545,https://twitter.com/raging545,1647553161,2022-03-17 21:39:21,IMAGES of another destroyed Russian Mi-24 Hind attack helicopter in S. Ukraine. One of the pilots insignia is also shown. #Putin #Russia #Ukraineunderattack #Ukrainian #Ukraine #RussianArmedForces #Russianwar #PutinIsaWarCriminal  #russianinvasion https://t.co/eNfchDkl46,https://pbs.twimg.com/media/FOFQSetWQAIknsx.png,,13,3,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/NaveenNaik13/status/1505830960448692227,NaveenNaik13,https://twitter.com/NaveenNaik13,1647853052,2022-03-21 8:57:32,@phildstewart https://t.co/aZ9UabEWyT,,,5,2,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/angel_lina_grom/status/1506984218420727818,angel_lina_grom,https://twitter.com/angel_lina_grom,1648128010,2022-03-24 13:20:10,"Russian people bullying a grandma with anti war posters.
Not Putin 
Not the military 
Not the police 
THE PEOPLE

#russiaswar #russianwar
 https://t.co/4PRW8vXuoN",,,1,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/SveinGF/status/1505139880959127560,SveinGF,https://twitter.com/SveinGF,1647688286,2022-03-19 11:11:26,The Truth #share #russianinvasion #russia #russianews #russland #UkraineRussiaConflict #UkraineUnderAttack #ukrainawar #russianwar #TruthWins https://t.co/vwoxPnwclW,https://pbs.twimg.com/media/FONUviVXwAA-0M8.jpg,,1,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/Princeola82/status/1506312293159743500,Princeola82,https://twitter.com/Princeola82,1647967811,2022-03-22 16:50:11,"@mhmck Whatever destruction that Ukrainian machines of war cannot finish, they are destined for starvation.

This is #Russianwar. It is was unjustified. It was unprovoked. Putin and his egoistic oligarchs chose the war, irrational thing no civilized nation is pursuing in 21st C https://t.co/Y6OJBi0MRd",https://pbs.twimg.com/media/FOd_DA_WUAMEjge.jpg,,2,0,1
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504553771011084304,raging545,https://twitter.com/raging545,1647548546,2022-03-17 20:22:26,"VIDEO taken tonight from Russia occupied Kherson showing Russian rocket launchers firing possibly BM-30 Smerch rockets in the direction of Mykolaiv, Ukraine. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Luhansk #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes https://t.co/WrHMZCVO9f",,https://video.twimg.com/ext_tw_video/1504553738207387664/pu/vid/272x480/emn5wL9Ep_H0rgS9.mp4?tag=12;,5,1,0
